Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
2E90.8,"Benign neoplasm of pharynx, unspecified",,,,,"Benign neoplasm of pharynx, unspecified; benign neoplasm of pharynx; benign neoplasm of the throat NOS; pharyngeal neoplasm benign; Benign neoplasm of the laryngopharynx; benign tumour of laryngopharynx; Benign neoplasm of Waldeyer ring; benign tumour of Waldeyer ring"
2E91,Benign neoplasm of major salivary glands,,,,Benign neoplasms of minor salivary glands NOS,
2E91.0,Benign neoplasm of parotid gland,,,,,Benign neoplasm of parotid gland; benign neoplasm of the parotid; benign tumour of parotid gland
2E91.1,Benign neoplasm of other specified major salivary glands,,,,,Benign neoplasm of other specified major salivary glands; Benign lymphoepithelial lesion of salivary gland; Benign neoplasm of sublingual gland; Benign neoplasm of submandibular gland; benign tumour of submandibular gland; Benign neoplasm of submaxillary gland
2E92,Benign neoplasm of digestive organs,,"A neoplasm of the digestive system which is characterised by the absence of morphologic features associated with malignancy (severe cytologic atypia, tumour cell necrosis, and high mitotic rate). Benign neoplasms remain confined to the original site of growth and only rarely metastasize to other anatomic sites.",,,
2E92.0,Benign neoplasm of oesophagus,,A non-metastasizing neoplasm arising from the esophageal wall.,,,"Benign neoplasm of oesophagus; benign oesophageal neoplasm; benign tumour of oesophagus; Benign epithelial neoplasm of oesophagus; Hyperplastic polyp of oesophagus; Squamous cell papilloma of oesophagus; Intraepithelial neoplasia of oesophagus, low grade; Glandular intraepithelial neoplasia of oesophagus, low grade; Glandular intraepithelial dysplasia of oesophagus, low grade; Squamous intraepithelial neoplasia of oesophagus, low grade; Squamous intraepithelial dysplasia of oesophagus, low grade; Other benign neoplasm of oesophagus; Benign neoplasm of abdominal oesophagus; benign tumour of abdominal part of oesophagus; Benign neoplasm of cervical oesophagus; benign tumour of cervical part of oesophagus; Benign neoplasm of thoracic oesophagus; benign tumour of thoracic part of oesophagus; Benign neoplasm of lower third of oesophagus; benign neoplasm of lower 1/3 of oesophagus; benign tumour of lower third of oesophagus; Benign neoplasm of middle third of oesophagus; benign tumour of middle third of oesophagus; Benign neoplasm of upper third of oesophagus; benign neoplasm of upper 1/3 of oesophagus; benign tumour of upper third of oesophagus"
2E92.1,Benign neoplasm of stomach,,A non-metastasizing neoplasm arising from the gastric wall.,,,"Benign neoplasm of stomach; benign tumour of stomach; Benign epithelial neoplasm of stomach; Tubular adenoma of stomach; Adenoma of stomach; Adenomatous polyp of stomach; Intraepithelial neoplasia of stomach, low grade; Other benign neoplasm of stomach; Glomus tumour of stomach; Inflammatory myofibroblastic tumour of stomach; Plexiform fibromyxoma of stomach; Benign neoplasm of body of stomach; benign tumour of body of stomach; Benign neoplasm of cardia of stomach; benign cardia neoplasm; benign tumour of cardia; Benign neoplasm of cardiac orifice; Benign neoplasm of fundus of stomach; benign tumour of fundus of stomach; Benign neoplasm of pyloric antrum; benign tumour of pyloric antrum; Benign neoplasm of pyloric canal; Benign neoplasm of pylorus of stomach; benign neoplasm of pylorus; benign tumour of pylorus"
2E92.2,Benign neoplasm of duodenum,,A non-metastasizing neoplasm arising from the wall of the duodenum.,,,"Benign neoplasm of duodenum; benign duodenal neoplasm; benign tumour of duodenum; Benign epithelial neoplasm of duodenum; Tubular adenoma of duodenum; Duodenal adenoma in familial polyposis; Intraepithelial neoplasia of duodenum, low grade; Dysplasia of duodenum, low grade; Other benign neoplasm of duodenum"
2E92.3,Benign neoplasm of other or unspecified parts of small intestine,,,,Benign neoplasm of duodenum,"Benign neoplasm of other or unspecified parts of small intestine; benign neoplasm of small intestine nos; benign tumour of small intestine; Benign epithelial neoplasm of small intestine; Tubular adenoma of small intestine; Adenoma of small intestine; Adenomatous polyp of the small intestine; Intraepithelial neoplasia of small intestine, low grade; Dysplasia of small intestine, low grade; Other benign neoplasm of small intestine; Benign neoplasm of ileum; benign tumour of ileum; Benign neoplasm of jejunum; benign tumour of jejunum; Benign neoplasm of Meckel diverticulum; benign tumour of Meckel diverticulum; benign tumour of ileal diverticulum"
2E92.4,Benign neoplasm of the large intestine,,A non-metastasizing neoplasm arising from the wall of the colon and rectum.,,,
2E92.40,Polyposis syndrome,,"Intestinal polyposis syndromes can be divided, based on histology, into the broad categories of familial adenomatous polyposis (FAP), hamartomatous polyposis syndromes, and other rare polyposis syndromes, such as hereditary-mixed polyposis syndrome (HMPS).",,,Polyposis syndrome; APC - [adenomatous polyposis coli]; adenomatous intestinal polyposis; adenomatous polyposis coli; colon polyposis; polyposis coli; Hyperplastic polyposis syndrome; Cap polyposis; Hereditary mixed polyposis syndrome; HMPS - [hereditary mixed polyposis syndrome]
2E92.5,Benign neoplasm of anus or anal canal,,Primary benign tumour that forms in tissues lining the anus and anal canal.,,Benign neoplasm of anal margin; Benign neoplasm of anal skin; Benign neoplasm of perianal skin,Benign neoplasm of anus or anal canal; Intraepithelial neoplasia of anus or anal canal; Benign neoplasm of anal canal; benign tumour of anal canal; Benign anorectal neoplasm
2E92.6,"Benign neoplasm of gallbladder, extrahepatic bile ducts or ampulla of Vater",,,Adenoma of extrahepatic bile duct,,"Benign neoplasm of gallbladder, extrahepatic bile ducts or ampulla of Vater; benign cholecystic neoplasm; Benign neoplasm of gallbladder and bile duct; Adenoma of bile ducts; adenoma of bile duct, unspecified site; adenoma of common bile duct; common bile ductal villous adenoma; Benign neoplasm of gallbladder; benign tumour of gallbladder; Adenoma of gallbladder; Intracystic papillary neoplasm with low- or intermediate-grade intraepithelial neoplasia of gallbladder; Mucinous cystic neoplasm with low- or intermediate-grade intraepithelial neoplasia of gallbladder; Benign neoplasm of ampulla of vater; benign tumour of ampulla of vater; Intestinal-type adenoma of ampulla of Vater; Adenoma of ampulla of Vater; Benign neoplasm of common bile duct; Benign neoplasm of cystic duct; Benign neoplasm of sphincter of oddi; Benign neoplasm of hepatic duct; Adenoma of extrahepatic bile duct; Intraductal papillary neoplasms with low- or intermediate-grade intraepithelial neoplasia of extrahepatic bile duct; Mucinous cystic neoplasm with low- or intermediate-grade intraepithelial neoplasia of extrahepatic bile duct; Noninvasive pancreatobiliary neoplasm with low-grade dysplasia of ampulla of Vater; Low-grade intraepithelial neoplasia of ampulla of vater; Other benign neoplasms of gallbladder, extrahepatic bile duct or ampulla of Vater"
2E92.7,Benign neoplasm of liver or intrahepatic bile ducts,,,,,"Benign neoplasm of liver or intrahepatic bile ducts; Benign neoplasm of liver; benign hepatic neoplasm; benign hepatoma; benign tumour of liver; Hepatocellular adenoma; HCA - [hepatocellular adenoma]; hepatocellular telangiectatic adenoma; Intraductal papillary neoplasms with low- or intermediate-grade intraepithelial neoplasia of liver; Mucinous cystic neoplasm with low- or intermediate-grade intraepithelial neoplasia of liver; Intrahepatic bile duct adenoma of liver; adenoma of intrahepatic bile duct; Liver fibroid; Liver cell adenoma of unspecified site; Benign cystic differentiated type or mature teratoma of liver, adult; Biliary duct cystadenoma; bile duct cystadenoma; bile ductal cystadenoma; biliary ductal cystadenoma"
2E92.8,Benign neoplasm of pancreas,,A non-metastasizing neoplasm arising from the pancreas.,,Benign neoplasm of endocrine pancreas,Benign neoplasm of pancreas; benign pancreatic neoplasm; benign tumour of pancreas; Acinar cell cystadenoma of pancreas; Serous cystadenoma of pancreas; Intraductal papillary mucinous neoplasm with low- or intermediate grade dysplasia of pancreas; Mucinous cystic neoplasms with low- or intermediate-grade dysplasia of pancreas; Intraductal papillary mucinous neoplasm of pancreas; Mucinous cystic neoplasm of pancreas; Benign neoplasm of body of pancreas; benign tumour of body of pancreas; Benign neoplasm of head of pancreas; benign tumour of head of pancreas; Benign neoplasm of pancreatic duct; benign tumour of pancreatic duct; Benign neoplasm of tail of pancreas; benign tumour of tail of pancreas
2E92.9,Benign neoplasm of endocrine pancreas,,,Islet cell tumour; benign neoplasm of islets of Langerhans,,"Benign neoplasm of endocrine pancreas; Islet cell tumour; benign neoplasm of islets of Langerhans; islet cell adenoma of unspecified site; islet cell neoplasm; islet cell pancreatic adenoma; islet cell tumour, unspecified site; pancreas islet cell tumour; pancreatic endocrine tumour; pancreatic islet cell tumour; tumour of endocrine pancreas; Alpha cell adenoma of pancreas; alpha cell adenoma of unspecified site; alpha cell tumour of the pancreas; alpha cell tumour of unspecified site; pancreatic alpha cell adenoma; pancreatic alpha cell tumour; Beta cell adenoma of pancreas; beta cell adenoma NOS; beta cell adenoma of unspecified site; beta cell tumour of pancreas; beta cell tumour of unspecified site; pancreatic beta cell adenoma; pancreatic beta cell tumour; Microcystic adenoma of pancreas; microcystic adenoma of unspecified site; Glucagonoma of pancreas; pancreatic glucagonoma; Nesidioblastoma of pancreas; nesidioblastoma of unspecified site; Pancreas insulinoma; pancreatic insulinoma"
2F00,Benign neoplasm of middle ear or respiratory system,,,,,
2F00.0,Middle ear endocrine tumour,,,,,Middle ear endocrine tumour; Middle ear neuroendocrine tumour
2F00.1,Recurrent respiratory papillomatosis,,"Recurrent respiratory papillomatosis is a rare respiratory disease characterised by the development of exophytic papillomas, affecting the mucosa of the upper aero-digestive tract (with a strong predilection for the larynx), caused by an infection with human papilloma virus. Symptoms at presentation may include hoarseness, chronic cough, dyspnoea, recurrent upper respiratory tract infections, pneumonia, dysphagia, stridor, and/or failure to thrive.",,,Recurrent respiratory papillomatosis
2F00.2,Laryngeal endocrine tumour,,,,,Laryngeal endocrine tumour; Laryngeal neuroendocrine tumour
2F01,Benign neoplasm of other intrathoracic organs,,,,Benign neoplasm of bronchus or lung; Benign neoplasm of bronchus; Benign neoplasm of mesothelial tissue of pleura; Benign neoplasm of lung,Benign neoplasm of other intrathoracic organs; Benign neoplasm of heart; benign cardiac neoplasm; Adult heart tumour; Benign adult heart tumour; Familial atrial myxoma; Heart tumour of the child; Benign heart tumour of the child; NAME syndrome; NAME - [Naevi - atrial myxoma - myxoid neurofibromata - ephelides] syndrome; Papillary fibroelastoma of the heart; Heart myxoma; Benign neoplasm of cardiac atrium; Benign neoplasm of endocardium; benign endocardial neoplasm; benign tumour of endocardium; Benign neoplasm of epicardium; benign epicardial neoplasm; Benign neoplasm of myocardium; benign myocardial neoplasm; benign tumour of myocardium; Benign neoplasm of pericardium; benign pericardial neoplasm; Hamartoma of mature cardiac myocytes; Mesenchymal cardiac hamartoma; Benign neoplasm of mediastinum; benign mediastinal neoplasm; benign tumour of mediastinum; Benign neoplasm of anterior mediastinum; Benign neoplasm of posterior mediastinum; Benign neoplasm of pleura; benign pleural neoplasm; benign tumour of pleura; Benign neoplasm of parietal pleura; Benign neoplasm of visceral pleura
2F10,Benign neoplasm of mesothelial tissue,,"A benign neoplasm arising from mesothelial cells. It is characterised by the formation of glandular and tubular patterns. It can occur in several anatomic sites including the pleura, peritoneum, and epididymis.",,,Benign neoplasm of mesothelial tissue; Benign mesothelioma NOS; benign mesothelioma of unspecified site; biphasic benign mesothelioma of unspecified site; fibrous benign mesothelioma of unspecified site; Benign neoplasm of mesothelial tissue of pleura; benign mesothelioma of pleura; benign pleural mesothelioma; Benign pleural biphasic mesothelioma; Benign pleural epithelioid mesothelioma; Benign pleural fibrous mesothelioma; Benign neoplasm of mesothelial tissue of peritoneum; benign mesothelioma of peritoneum; benign peritoneal mesothelioma; Benign biphasic mesothelioma of mesocolon; Benign epithelioid mesothelioma of mesentery; Benign epithelioid mesothelioma of mesocolon; Benign epithelioid mesothelioma of omentum; Benign epithelioid mesothelioma of peritoneum; Benign fibrous mesothelioma of mesentery; Benign fibrous mesothelioma of mesocolon; Benign fibrous mesothelioma of peritoneum; Benign mesothelioma of mesentery; Benign mesothelioma of mesocolon; Benign mesothelioma of omentum; Biphasic benign mesothelioma of mesentery; Biphasic benign mesothelioma of peritoneum; Fibrous benign mesothelioma of omentum
2F20,Benign cutaneous melanocytic neoplasms,,,Benign melanocytic naevus; Mole; Pigmented naevus,,
2F20.0,Common acquired melanocytic naevus,,,,,
2F20.00,Multiple benign melanocytic naevi,,"The presence of multiple benign melanocytic naevi (often taken as more than 20 naevi >2mm in diameter), an independent risk factor for the development of melanoma with highest risk associated with highest numbers of naevi (>100).",,,Multiple benign melanocytic naevi
2F20.1,Atypical melanocytic naevus,,"Solitary or multiple, slightly raised, pigmented lesions with irregular borders, usually measuring more than 0.6cm in greatest dimension. Morphologically, there is melanocytic atypia and the differential diagnosis from melanoma may be difficult. Patients are at an increased risk for the development of melanoma.","Dysplastic naevus, unspecified",,"Atypical melanocytic naevus; Dysplastic naevus, unspecified; Multiple atypical melanocytic naevi; Melanocytic naevus with mild to moderate dysplasia"
2F20.2,Congenital melanocytic naevus,,"Congenital melanocytic naevi are circumscribed areas of skin pigmentation present at birth as a result of abnormal intrauterine proliferation of melanocytes within the dermis, the epidermis or both. They may range in size from a few millimetres to many centimetres in diameter. If their projected or final adult maximal diameter is greater than 20 cm they are termed giant congenital melanocytic naevi.",,,
2F20.20,Giant congenital melanocytic naevus,,"A congenital melanocytic naevus (CMN) with a predicted or final adult maximal diameter of 400 mm or more. Giant CMNs are commonly centred on the dorsal surface of the body between the vertex and the buttocks but may occur elsewhere; they may be associated with multiple smaller satellite naevi (congenital or tardive), hypertrichosis, lipomas or benign proliferative nodules. There is a risk of pre-pubertal melanoma within giant CMN or the central nervous system (CNS). Leptomeningeal melanocytosis or focal neuromelanosis, found in 10-15% of cases, is often associated with other CNS tumours, hydrocephalus, epilepsy, arachnoid cysts, or Dandy-Walker malformation.",,,Giant congenital melanocytic naevus; Bathing-trunk naevus; Congenital giant pigmented naevus; Garment naevus; Neurocutaneous melanocytosis
2F20.3,Generalised eruptive melanocytic naevi,,"This phenomenon describes the rapid simultaneous appearance of multiple melanocytic naevi, often hundreds in number, on previously uninvolved sun-exposed skin. The phenomenon has been linked to immunosuppression, particularly in renal transplant recipients and in individuals receiving cancer chemotherapy, and may be considered a more advanced counterpart of generalised eruptive lentiginosis.",,Multiple benign melanocytic naevi; Generalized eruptive lentiginosis,Generalised eruptive melanocytic naevi
2F21,Benign keratinocytic acanthomas,,A group of benign discrete epidermal proliferative disorders including seborrhoeic keratosis and clear cell acanthoma.,,,Benign keratinocytic acanthomas
2F21.0,Seborrhoeic keratosis,,Seborrhoeic keratoses are very common benign neoplasms of epidermal keratinocytes which increase in prevalence and number with age. They are commonly multiple and are very variable in shape and colour. Because of the sometimes intense pigmentation they are frequently mistaken for melanocytic tumours.,Basal cell papilloma; Seborrheic wart,,Seborrhoeic keratosis; Basal cell papilloma; Seborrheic wart; Acanthotic seborrhoeic keratosis; Adenoid seborrhoeic keratosis; Hyperkeratotic seborrhoeic keratosis; Inflamed seborrhoeic keratosis; Irritated seborrhoeic keratosis; Nested seborrhoeic keratosis; Clonal seborrhoeic keratosis; Pigmented seborrhoeic keratosis; Plane seborrhoeic keratosis; Flat seborrhoeic keratosis; Dermatosis papulosa nigra; Traumatized seborrhoeic keratosis
2F22,Benign neoplasms of epidermal appendages,,"A range of benign neoplasms arising from the hair follicle, its associated glands or from sweat glands.",,,Benign neoplasms of epidermal appendages; tumour of skin appendage; Benign cutaneous neoplasms with follicular differentiation; Pilomatrixoma; Epithelioma calcificans of Malherbe; Malherbe calcifying epithelioma; Pilomatricoma; Eruptive vellus hair cysts; Trichoepithelioma; Trichoepithelioma of eyelids; trichoblastoma of eyelashes; Multiple familial trichoepithelioma; Brooke-Spiegler syndrome; Epithelioma adenoides cysticum; MFT1 [multiple familial trichoepithelioma]; Classical trichoepithelioma; Desmoplastic trichoepithelioma; Cutaneous lymphadenoma; Dilated pore of Winer; Fibrofolliculoma; Pilar sheath acanthoma; Trichilemmoma; Trichoadenoma; Trichoblastoma; Solitary giant trichoblastoma; Trichodiscoma; Tumour of the follicular infundibulum; Benign cutaneous neoplasms with sebaceous differentiation; Sebaceous adenoma; Steatocystoma simplex; Steatocystoma multiplex; sebocystomatosis; Benign cutaneous neoplasms with apocrine differentiation; Cylindroma; Apocrine tubular adenoma; Hidradenoma papilliferum; Benign cutaneous neoplasms with eccrine differentiation; Eccrine dermal duct tumour; benign tumour of sweat gland; Eccrine poroma; Syringoma; chondroid syringoma of unspecified site; Multiple syringomata; Hidradenomes éruptifs; Eccrine syringofibradenoma; Hidroacanthoma simplex; Tubular papillary adenoma
2F23,Benign dermal fibrous or fibrohistiocytic neoplasms,,"Benign dermal neoplasms due to abnormal proliferation of fibroblasts, myofibroblasts or primitive mesenchymal cells.",,,Benign dermal fibrous or fibrohistiocytic neoplasms
2F23.0,Dermatofibroma,,"A common benign skin tumour which presents as a firm dermal papule or nodule, most commonly on the lower limbs. Histologically it is characterised by coarse, haphazardly arranged collagen bundles and a variable cellular infiltrate including fibrocytes.",,,Dermatofibroma; Fibrous histiocytoma; Histiocytoma; Sclerosing haemangioma; Subepidermal nodular fibrosis
2F24,Benign cutaneous neoplasms of neural or nerve sheath origin,,,,,Benign cutaneous neoplasms of neural or nerve sheath origin; Palisaded encapsulated neuroma; Cutaneous neurofibroma; Cutaneous schwannoma; Cutaneous neurilemmoma; Cutaneous neurolemmoma; Dermal nerve sheath myxoma; Cutaneous lobular neuromyxoma; Myxomatous perineurioma; Cellular neurothekeoma
2F25,Cherry angioma,,,Campbell de Morgan spot; Senile angioma,,Cherry angioma; Campbell de Morgan angioma; Campbell de Morgan spot; Senile angioma; de Morgan's spots
2F26,Lobular capillary haemangioma,,"Historically called pyogenic granuloma, this is a common benign proliferation of capillary blood vessels which may be induced by trauma or by certain drugs. It presents as one or more bright red papules or nodules often located around the mouth or on a terminal phalanx in relation to the nail. Bleeding, ulceration and crusting frequently occur. BRAF mutations within vascular endothelial cells may be present, indicating that this is, in at least a proportion of cases, a true neoplastic process.",Lobular capillary haemangioma of skin,,Lobular capillary haemangioma; Granuloma pyogenicum; Granuloma telangiectaticum of skin; Lobular capillary haemangioma of skin; Pyogenic granuloma; Pyogenic granuloma of skin
2F30,Benign neoplasm of breast,,A non-metastasizing neoplasm arising from the breast parenchyma.,,Lipoma; Benign neoplasm of skin of breast,
2F30.0,Tubular adenoma of breast,,"A benign, well circumscribed neoplasm that arises from the breast. It is composed entirely of tubular structures that contain epithelial and myoepithelial cells.",,,Tubular adenoma of breast
2F30.1,Lactating adenoma of breast,,"A tubular type adenoma of the breast in which, during pregnancy and lactation, the epithelial cells show extensive secretory changes.",,,Lactating adenoma of breast
2F30.2,Intraductal papilloma of breast,,"A benign papillary neoplasm that arises anywhere in the ductal system of the breast. It is characterised by fibrovascular structures lined by benign epithelial and myoepithelial proliferations. Intraductal breast papillomas are classified as central, when they arise in large ducts, or peripheral, when they arise in the terminal ductal lobular units.",,,Intraductal papilloma of breast; Ductal adenoma of breast
2F30.3,Benign phyllodes tumour of breast,,"A usually unilateral, benign and well circumscribed biphasic neoplasm that arises from the breast. It usually affects middle-aged women. It is characterised by the presence of a double layer of epithelial cells that are arranged in clefts, surrounded by a cellular, monomorphic spindle cell mesenchymal component. Mitoses are rare. Necrotic changes may be present in large tumours.",,,Benign phyllodes tumour of breast; Phyllodes tumour of breast; benign phyllodes tumour; benign phyllodes tumour of unspecified site; fibroadenoma phyllodes of unspecified site
2F30.4,Fibromatosis of breast,,,,,Fibromatosis of breast
2F30.5,Fibroadenoma of breast,,"A benign tumour of the breast characterised by the presence of stromal and epithelial elements. It presents as a painless, solitary, slow growing, firm, and mobile mass. It is the most common benign breast lesion. It usually occurs in women of childbearing age. The majority of fibroadenomas do not recur after complete excision. A slightly increased risk of developing cancer within fibroadenomas or in the breast tissue of patients previously treated for fibroadenomas has been reported.",,,"Fibroadenoma of breast; fibroadenoma NOS; fibroadenoma unspecified site; Giant adenofibroma of breast; Multiple fibroadenomas of breast; other benign mammary dysplasias; Apocrine metaplasia of breast; Cyst of skin of breast; Involution of breast cyst; Sebaceous cyst of breast; Sebaceous cyst of skin of breast; Cellular intracanalicular fibroadenoma; intracanalicular fibroadenoma, unspecified site; Giant intracanalicular fibroadenoma of unspecified site; Pericanalicular fibroadenoma of breast; pericanalicular fibroadenoma, unspecified site; Juvenile fibroadenoma of breast"
2F30.6,Extensive adenomatosis of nipple,,"Rare benign nipple condition presenting as pruritus, burning or pain symptoms with clinical signs showing a nipple which appears ulcerated, crusting, scaling, indurated and erthymatous. Differential diagnosis are Paget, psoriasis, etc.",,,Extensive adenomatosis of nipple; erosive adenomatosis of nipple
2F30.7,Benign neoplasm of the nipple,,,,,Benign neoplasm of the nipple; Benign adenoma of nipple; Subareolar duct papillomatosis of nipple
2F31,Benign non-mesenchymal neoplasms of uterus,,Other non-malignant tumours of the uterus not detailed elsewhere.,,Leiomyoma of uterus,
2F31.0,"Benign non-mesenchymal neoplasm of uterus, cervix uteri",,,,Low grade squamous intraepithelial lesion of cervix uteri,"Benign non-mesenchymal neoplasm of uterus, cervix uteri; benign cervical neoplasm; benign neoplasm of cervix uteri; benign neoplasm of endocervix; benign neoplasm of exocervix; benign neoplasm of uterine cervix; benign tumour of cervix"
2F31.1,"Benign non-mesenchymal neoplasm of uterus, corpus uteri",,,,,"Benign non-mesenchymal neoplasm of uterus, corpus uteri; benign endometrial neoplasm; benign neoplasm of body of uterus; benign neoplasm of corpus uteri; benign neoplasm of endometrium"
2F31.2,"Benign non-mesenchymal neoplasms of uterus, other parts",,,,,"Benign non-mesenchymal neoplasms of uterus, other parts; Benign neoplasm of placenta; benign placental neoplasm; Placental site trophoblastic tumour"
2F32,Benign neoplasm of ovary,,"A non-metastasizing neoplasm that arises from the ovary. Representative examples include serous cystadenoma, mucinous cystadenoma, clear cell adenofibroma, benign Brenner tumour, thecoma, and fibroma.",,,
2F32.0,Cystic teratoma,,"A condition of the ovary, caused by abnormal proliferation due to genetic mutations, abnormal growth or division of germ cells. This condition is characterised by a benign ovarian neoplasm, and abdominal pain, mass or swelling, or abnormal uterine bleeding, and may lead to ovarian torsion or cystic rupture. Confirmation is by imaging.",,,Cystic teratoma
2F32.1,Ovarian fibroma,,"A condition of the ovary, caused by abnormal proliferation due to genetic mutations, abnormal growth or division of cells. This condition is characterised by a benign sex chord ovarian tumour. Confirmation is by imaging.",,,Ovarian fibroma
2F32.2,Meigs syndrome,,"Meigs syndrome is classically defined as the triad of ascites, pleural effusion, and benign ovarian fibroma. A key feature found in patients with Meigs syndrome is the resolution of symptoms after tumor resection. Meigs syndrome is a rare condition that can only be diagnosed after ovarian carcinoma is ruled out.",,,Meigs syndrome
2F32.3,Serous ovarian cystadenoma,,,,,Serous ovarian cystadenoma; Serous cystadenoma of ovary
2F33,Benign neoplasm of other or unspecified female genital organs,,A non-metastasizing neoplasm that arises from the female reproductive system. A representative example is benign ovarian germ cell tumour.,,,Benign neoplasm of other or unspecified female genital organs; Benign neoplasm of vulva; benign neoplasm of external female genitalia NOS; benign neoplasm of pudendum; benign tumour of vulva; Benign neoplasm of labia; Benign neoplasm of labia majora; Benign neoplasm of labia minora; Benign neoplasm of Bartholin gland; Benign neoplasm of clitoris; Benign neoplasm of greater vestibular gland; Benign neoplasm of vagina; benign tumour of vagina; benign vaginal neoplasm; Benign neoplasm of fallopian tubes or ligaments; Benign neoplasm of broad ligament; Benign neoplasm of fallopian tube; benign tumour of fallopian tube; Benign neoplasm of oviduct; Benign neoplasm of parametrium; Benign neoplasm of uterine tubes and ligaments; Benign neoplasm of uterine ligament; Endosalpingioma of unspecified site; Benign neoplasm of uterine adnexa; Benign neoplasm of skin of female genital organs
2F34,Benign neoplasm of male genital organs,,"A non-metastasizing neoplasm that arises from the male reproductive system. Representative examples include benign prostate phyllodes tumour, benign Sertoli cell tumour, seminal vesicle cystadenoma, and epididymal adenomatoid tumour.",Benign neoplasm of skin of male genital organs,,"Benign neoplasm of male genital organs; Benign neoplasm of testis; benign testicular neoplasm; benign testicular tumour; benign tumour of testis; Leydig-Sertoli cell tumour of unspecified site, male; Sertoli-Leydig cell tumour, unspecified site, male; Differentiated type or mature benign cystic teratoma of testis, adult; Folliculome lipidique, unspecified site, male; Pick tubular adenoma, unspecified site, male; Sertoli cell adenoma, unspecified site, male; Sertoli cell tumour, unspecified site, male; Sertoli cell tumour, with lipid storage, unspecified site, male; Benign androblastoma, unspecified site, male; Benign arrhenoblastoma, unspecified site, male; Tubular androblastoma, unspecified site, male; Tubular androblastoma with lipid storage, unspecified site, male; Yolk sac tumour of unspecified site, male; Testicular adenoma, unspecified site, male; Benign neoplasm of undescended testis; Benign Leydig cell tumour, unspecified site, male; Benign neoplasm of penis; Benign neoplasm of foreskin; Benign neoplasm of glans penis; Benign neoplasm of prepuce of penis; Benign neoplasm of prostate; benign tumour of prostate; Benign adenoma of prostate; prostatic adenoma; Prostatic fibroma; fibroma of prostate; Benign neoplasm of scrotum; benign scrotal neoplasm; Benign neoplasm of skin of scrotum; Benign neoplasm of epididymis; benign epididymal neoplasm; benign tumour of epididymis; Benign neoplasm of seminal vesicle; benign tumor of seminal vesicle; Benign neoplasm of spermatic cord; benign tumor of spermatic cord; Benign neoplasm of tunica vaginalis; Benign neoplasm of vas deferens; Benign neoplasm of skin of male genital organs"
2F35,Benign neoplasm of urinary organs,,"A non-metastasizing neoplasm that arises from the organs that comprise the urinary system. Representative examples include renal oncocytoma, bladder inverted papilloma, and urothelial papilloma.",,,Benign neoplasm of urinary organs; Benign neoplasm of kidney; benign neoplasm of kidney NOS; benign renal tumour; benign tumour of kidney; renal benign neoplasm; Benign neoplasm of renal pelvis; benign kidney pelvis neoplasm; benign tumour of renal pelvis; Benign papilloma of renal pelvis; Benign neoplasm of renal calyces; Benign neoplasm of ureter; benign tumour of ureter; Benign papilloma of ureter; Benign neoplasm of urethra; benign tumour of urethra; benign urethral neoplasm; benign urethral tumour; Benign neoplasm of bladder; benign bladder tumour; benign neoplasm of the urinary bladder; benign tumour of urinary bladder; Benign neoplasm of anterior wall of urinary bladder; Benign neoplasm of apex of urinary bladder; Benign neoplasm of dome of urinary bladder; Benign neoplasm of lateral wall of urinary bladder; Benign neoplasm of posterior wall of urinary bladder; Benign neoplasm of trigone of urinary bladder; Benign neoplasm of urachus; benign tumour of urachus; benign urachal tumour; Benign neoplasm of ureteric orifice of urinary bladder; benign neoplasm of ureteric orifice of bladder; Benign neoplasm of urethral orifice of bladder; Benign neoplasm of urinary bladder neck; Benign papilloma of bladder; Urothelial papilloma of unspecified site
2F36,Benign neoplasm of eye or ocular adnexa,,,,Benign neoplasm of optic nerve; Benign neoplasm of skin of eyelid,
2F36.0,Benign neoplasm of choroid,,Abnormal growth of the cells of the choroid without malignant characteristics.,,,Benign neoplasm of choroid; benign neoplasm of choroid; benign tumour of choroid; Melanocytic naevus of choroid; Osteoma of choroid; Neurofibroma of choroid
2F36.1,Benign neoplasm of iris,,,,,Benign neoplasm of iris; Melanocytic naevus of iris; Adenoma of iris neuroepithelium
2F36.2,Benign neoplasm of ciliary body,,,,,Benign neoplasm of ciliary body; benign tumour of ciliary body; Leiomyoma of ciliary body; Melanocytic naevus of ciliary body; Benign medulloepithelioma of ciliary body; Adenoma of ciliary neuroepithelium; Glioneuroma of ciliary body; Magnocellular naevus of ciliary body; magnocellular naevus of unspecified site; Benign neoplasm of eyeball; Benign neoplasm of uveal tract; Melanocytoma of the eyeball
2F36.3,Teratoma of orbit,,This is an encapsulated tumour with tissue or organ components resembling normal derivatives of all three germ layers. This diagnosis is of the cavity or socket of the skull in which the eye and its appendages are situated.,,,Teratoma of orbit
2F36.4,Cysts of eyelid,,,,,Cysts of eyelid; Marginal cyst of eyelid; Marginal cyst of gland of Moll; Marginal cyst of gland of Zeis; Dermoid cyst of eyelid
2F37,Benign neoplasm of endocrine glands,,,,Benign neoplasm of hypothalamus; Benign neoplasm of endocrine pancreas; Benign neoplasm of ovary; Benign neoplasm of testis,
2F37.0,Non-secreting pituitary adenoma,,,,,Non-secreting pituitary adenoma; Non-functioning pituitary adenoma
2F70,Neoplasms of uncertain behaviour of oral cavity or digestive organs,,,,,
